Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
1321,1639.696260,1631,0,0
1322,1641.399620,1631,0,0
1323,1642.486460,1631,0,0
1324,1644.295820,1631,0,0
1325,1645.321840,1631,0,0
1326,1646.862820,1631,0,0
1327,1647.843940,1631,0,0
1328,1649.585200,1631,0,0
1329,1650.585620,1631,0,0
1330,1652.383800,1631,0,0
1331,1653.475300,1631,0,0
1332,1654.997300,1631,0,0
1333,1655.979080,1631,0,0
1334,1657.694880,1631,0,0
1335,1658.665700,1631,0,0
1336,1660.349320,1631,0,0
1337,1661.343960,1631,0,0
1338,1663.473880,1631,0,0
1339,1665.080620,1631,0,0
1340,1666.075620,1631,0,0
1341,1667.760540,1631,0,0
1342,1668.784000,1631,0,0
1343,1670.532120,1631,0,0
1344,1671.530960,1631,0,0
1345,1673.272820,1631,0,0
1346,1674.300400,1631,0,0
1347,1675.809780,1631,0,0
1348,1676.830600,1631,0,0
1349,1678.632180,1631,0,0
1350,1679.625980,1631,0,0
1351,1681.274780,1631,0,0
1352,1682.294180,1631,0,0
1353,1683.895500,1631,0,0
1354,1684.880160,1631,0,0
1355,1686.565680,1631,0,0
1356,1687.551240,1631,0,0
1357,1689.087500,1631,0,0
1358,1690.052420,1631,0,0
1359,1691.834880,1631,0,0
1360,1693.505060,1631,0,0
1361,1694.519080,1631,0,0
1362,1696.278120,1631,0,0
1363,1697.274540,1631,0,0
1364,1698.809060,1631,0,0
1365,1699.800420,1631,0,0
1366,1701.575120,1631,0,0
1367,1702.685660,1631,0,0
1368,1704.404900,1631,0,0
1369,1705.419180,1631,0,0
1370,1706.929680,1631,0,0
1371,1707.926660,1631,0,0
1372,1709.638300,1631,0,0
1373,1710.625360,1631,0,0
1374,1712.342160,1631,0,0
1375,1713.340440,1631,0,0
1376,1714.910300,1631,0,0
1377,1715.877820,1631,0,0
1378,1717.603920,1631,0,0
1379,1718.593800,1631,0,0
1380,1720.265700,1631,0,0
1381,1721.259020,1631,0,0
1382,1722.885480,1631,0,0
1383,1723.858900,1631,0,0
1384,1725.548340,1631,0,0
1385,1727.231900,1631,0,0
1386,1728.087560,1631,0,0
1387,1729.047980,1631,0,0
1388,1730.824840,1631,0,0
1389,1732.615640,1631,0,0
1390,1733.614940,1631,0,0
1391,1735.342340,1631,0,0
1392,1736.348080,1631,0,0
1393,1737.638600,1631,0,0
1394,1738.887620,1631,0,0
1395,1740.778660,1631,0,0
1396,1741.763260,1631,0,0
1397,1743.474060,1631,0,0
1398,1744.488220,1631,0,0
1399,1745.991540,1631,0,0
1400,1746.967680,1631,0,0
1401,1748.682760,1631,0,0
1402,1749.654180,1631,0,0
1403,1751.283900,1631,0,0
1404,1752.081360,1631,0,0
1405,1753.827620,1631,0,0
1406,1754.797160,1631,0,0
1407,1756.502760,1631,0,0
1408,1757.563540,1631,0,0
1409,1759.270580,1631,0,0
1410,1760.074940,1631,0,0
1411,1761.599360,1631,0,0
1412,1763.013860,1631,0,0
1413,1764.045920,1631,0,0
1414,1765.058940,1631,0,0
1415,1766.240940,1631,0,0
1416,1767.243860,1631,0,0
1417,1768.279020,1631,0,0
1418,1769.518980,1631,0,0
1419,1770.636640,1631,0,0
1420,1771.774520,1631,0,0
1421,1772.831160,1631,0,0
1422,1773.868580,1631,0,0
1423,1774.885280,1631,0,0
1424,1775.918920,1631,0,0
1425,1776.925900,1631,0,0
1426,1777.945940,1631,0,0
1427,1778.987960,1631,0,0
1428,1779.998280,1631,0,0
1429,1781.033680,1631,0,0
1430,1782.050460,1631,0,0
1431,1783.248080,1631,0,0
1432,1784.338580,1631,0,0
1433,1785.362180,1631,0,0
1434,1786.720360,1631,0,0
1435,1787.768840,1631,0,0
1436,1788.820840,1631,0,0
1437,1789.842800,1631,0,0
1438,1790.859840,1631,0,0
1439,1792.674540,1631,0,0
1440,1793.633180,1631,0,0
1441,1795.265720,1631,0,0
1442,1796.061140,1631,0,0
1443,1797.765140,1631,0,0
1444,1798.697000,1631,0,0
1445,1800.352940,1631,0,0
1446,1801.297520,1631,0,0
1447,1802.877560,1631,0,0
1448,1803.819940,1631,0,0
1449,1805.531060,1631,0,0
1450,1807.263580,1631,0,0
1451,1808.270540,1631,0,0
1452,1809.072620,1631,0,0
1453,1810.649240,1631,0,0
1454,1811.663760,1631,0,0
1455,1812.741360,1631,0,0
1456,1813.768360,1631,0,0
1457,1814.805940,1631,0,0
1458,1815.836520,1631,0,0
1459,1816.857520,1631,0,0
1460,1817.894580,1631,0,0
1461,1818.910640,1631,0,0
1462,1819.945120,1631,0,0
1463,1820.965620,1631,0,0
