time,distance_left,distance_right
9.51904048,466,370
9.52088016,466,370
9.52265562,466,370
9.52375766,557,424
9.52561304,557,424
9.52672686,557,424
9.52854694,557,424
9.53040188,557,424
9.5315532,557,424
9.5334499,636,467
9.53467356,636,467
9.5364673,636,467
9.53811648,636,467
9.539496,636,467
9.54073314,636,467
9.54189124,636,467
9.5430634,693,507
9.54465242,693,507
9.5459525,693,507
9.54711024,693,507
9.54848398,693,507
9.54966316,693,507
9.55084056,693,507
9.55199562,693,507
9.55316546,722,509
9.55448248,722,509
9.55569112,722,509
9.5568331,722,509
9.55798594,722,509
9.5593504,722,509
9.56052514,722,509
